佛 	ぶっ 	Buddha 	Buddha 	Usually 佛 in Heart Sutra, but commonly 仏.
説 	せつ 	theory 	佛説 Buddha’s teaching 	
摩 	マ 	chafe 	 	
訶 	か 	scold 	マハ great 	
般 	ハン 	generally 		
若 	二ゃ 	young 		
波 	ハ 	wave 	 	
羅 	ラ 	spread out 	 	
蜜 	ミッ 	honey 	 	is 密 an alternative?
多 	タ 	many  ハン二ゃハラミッタ Prajnaparamita , the perfection of wisdom. This whole text is a discourse on this concept of the essential emptiness of existence. 	
心 	しん 	heart 	heart 	
経 	ぎょう 	passage of time 	sutra 	

That is the title, now it starts. Some times I hear the chanting start on the “まか” above, and sometimes on the “はんにゃ”, but usually it starts on the line below.
観 	カン 	view 	
自 	ジ  self 	
在 	ザイ 	exist 	-Avalokita – 観音, かんのん in Japan. This is Kannon speaking! 	
菩 	ぼ 	sacred tree 		
薩 	さつ 	salvation, Buddha 	菩薩 bodhisattva 	
行 	ぎょう 	go 	practice 	
深 	じん 	deep 		
般 	ハン 	
若 	二ゃ 			
波 	ハ 		 	
羅 	ラ 	 	 	
蜜 	ミッ  	 	
多 	タ 	
時 	じ 	time 	now 	
照 	しょう 	illuminate 	clearly 	
見 	けん 	see 	sees 	
五 	ご 	five 	five 	
蘊 	うん 	pile up 	五蘊 the five aggregates 	the 五蘊 are 色, 受,想,行,識. Suffering arises when a being clings to these aggregates.
皆 	かい 	all 	all 	
空 	くう 	sky 	empty 	
度 	ど 	degrees 	free from 	
一 	いっ 	one 		
切 	さい 	cut 	all 	
苦 	く 	suffering 	suffering 	
厄 	やく 	unlucky 	unhappiness 	
舎 	シャ 	cottage 	
利 	り 	profit 		
子 	シ 	child 	Sariputra one of the Buddhas two main disciples. Usually written as 舎利弗 , しゃりほつ. 舎利仏 is receiving this teaching.
色 	しき 	color 	form 	
不 	ふ 	not 	not 	
異 	い 	differ 	different 	
空 	くう 	sky 	emptiness 	
空 	くう 	sky 	emptiness 	
不 	ふ 	not 	not 	
異 	い 	differ 	different 	
色 	しき 	color 	form 	
色 	しき 	color 	form 	
即 	そく 	instant 	then 	
是 	ぜ 	absolutely 	is 	
空 	くう 	sky 	emptiness 	
空 	くう 	sky 	emptiness 	
即 	そく 	instant 	then 	
是 	ぜ 	absolutely 	is 	
色 	しき 	color 	form 	
受 	じゅ 	accept 	feeling 	
想 	そう 	concept 	perception 	
行 	ぎょう 	go 	volition 	
識 	しき 	discerning 	consciousness 	
亦 	やく 	also 	also 	
復 	ぶ 	restore 	again 	
如 	にょ 	likeness 	same 	
是 	ぜ 	absolutely 	are 	
舎 	シャ 	
利 	リ		
子 	シ 		Sariputra 	
是 	ぜ 	absolutely 	are 	
諸 	しょ 	various 	all 	
法 	ほう 	method 	dharmas 	Dharma is a complex term, difficult to define or translate. The common definition of “cosmic law” works fine here.
空 	くう 	sky 	empty 	
相 	そう 	mutual 	appearances 	
不 	ふ 	not 	not 	
生 	しょう 	life 	born 	
不 	ふ 	not 	not 	
滅 	めつ 	destroy 	destroyed 	
不 	ふ 	not 	not 	
垢 	く 	dirt 	dirty 	
不 	ふ 	not 	not 	
浄 	じょう 	cleanse 	clean 	
不 	ふ 	not 	not 	
増 	ぞう 	increase 	increasing 	
不 	ふ 	not 	not 	
減 	げん 	decrease 	decreasing 	
是 	ぜ 	absolutely 		
故 	こ 	circumstance 	is 	
空 	くう 	sky 	emptiness 	
中 	ちゅう 	middle 	within 	
無 	む 	nothing 	no 	
色 	しき 	color 	form 	
無 	む 	nothing 	no 	
受 	じゅ 	accept 	feeling 	
想 	そう 	concept 	perception 	
行 	じょう 	go 	volition 	
識 	しき 	discerning 	consciousness 	
無 	む 	no 	no 	
眼 	げん 	eyeball 	eye 	
